編號	案類	發生(現)日期	發生時段
178	住宅竊盜	1040329	10~12
179	住宅竊盜	1040329	16~18
180	住宅竊盜	1040330	07~09
181	住宅竊盜	1040330	10~12
182	住宅竊盜	1040330	10~12
183	住宅竊盜	1040331	07~09
184	住宅竊盜	1040331	22~24
185	住宅竊盜	1040401	13~15
186	住宅竊盜	1040401	22~24
187	住宅竊盜	1040404	13~15
188	住宅竊盜	1040405	10~12
189	住宅竊盜	1040405	19~21
190	住宅竊盜	1040405	22~24
191	住宅竊盜	1040405	22~24
192	住宅竊盜	1040407	01~03
193	住宅竊盜	1040407	10~12
194	住宅竊盜	1040407	10~12
195	住宅竊盜	1040408	10~12
196	住宅竊盜	1040408	16~18
197	住宅竊盜	1040409	10~12
198	住宅竊盜	1040410	07~09
199	住宅竊盜	1040410	16~18
200	住宅竊盜	1040410	19~21
201	住宅竊盜	1040411	10~12
202	住宅竊盜	1040413	10~12
203	住宅竊盜	1040413	13~15
204	住宅竊盜	1040415	07~09
205	住宅竊盜	1040415	16~18
206	住宅竊盜	1040415	22~24
207	住宅竊盜	1040416	04~06
208	住宅竊盜	1040416	07~09
209	住宅竊盜	1040416	10~12
210	住宅竊盜	1040416	13~15
211	住宅竊盜	1040416	13~15
212	住宅竊盜	1040416	19~21
213	住宅竊盜	1040417	16~18
214	住宅竊盜	1040417	16~18
215	住宅竊盜	1040419	13~15
216	住宅竊盜	1040420	16~18
217	住宅竊盜	1040420	22~24
218	住宅竊盜	1040421	19~21
219	住宅竊盜	1040422	19~21
220	住宅竊盜	1040423	04~06
221	住宅竊盜	1040423	13~15
222	住宅竊盜	1040423	19~21
223	住宅竊盜	1040423	19~21
224	住宅竊盜	1040424	10~12
225	住宅竊盜	1040425	04~06
226	住宅竊盜	1040425	22~24
227	住宅竊盜	1040426	04~06
228	住宅竊盜	1040427	07~09
229	住宅竊盜	1040427	07~09
230	住宅竊盜	1040427	10~12
231	住宅竊盜	1040427	13~15
232	住宅竊盜	1040427	16~18
233	住宅竊盜	1040427	22~24
234	住宅竊盜	1040428	19~21
235	住宅竊盜	1040429	13~15
236	住宅竊盜	1040429	13~15
237	住宅竊盜	1040430	07~09
238	住宅竊盜	1040430	19~21
239	住宅竊盜	1040501	16~18
240	住宅竊盜	1040501	22~24
241	住宅竊盜	1040503	19~21
242	住宅竊盜	1040504	10~12
243	住宅竊盜	1040504	19~21
244	住宅竊盜	1040505	16~18
245	住宅竊盜	1040506	19~21
246	住宅竊盜	1040507	19~21
247	住宅竊盜	1040508	04~06
248	住宅竊盜	1040508	07~09
249	住宅竊盜	1040508	13~15
250	住宅竊盜	1040509	10~12
251	住宅竊盜	1040510	04~06
252	住宅竊盜	1040510	10~12
253	住宅竊盜	1040510	13~15
254	住宅竊盜	1040511	22~24
255	住宅竊盜	1040512	10~12
256	住宅竊盜	1040512	13~15
257	住宅竊盜	1040512	19~21
258	住宅竊盜	1040514	10~12
259	住宅竊盜	1040514	10~12
260	住宅竊盜	1040515	10~12
261	住宅竊盜	1040515	10~12
262	住宅竊盜	1040515	19~21
263	住宅竊盜	1040518	10~12
264	住宅竊盜	1040521	16~18
265	住宅竊盜	1040521	22~24
266	住宅竊盜	1040522	16~18
267	住宅竊盜	1040523	10~12
268	住宅竊盜	1040523	10~12
269	住宅竊盜	1040525	19~21
270	住宅竊盜	1040526	04~06
271	住宅竊盜	1040526	16~18
272	住宅竊盜	1040526	22~24
273	住宅竊盜	1040528	04~06
274	住宅竊盜	1040528	19~21
275	住宅竊盜	1040529	16~18
276	住宅竊盜	1040529	22~24
277	住宅竊盜	1040531	22~24
278	住宅竊盜	1040531	22~24
279	住宅竊盜	1040601	22~24
280	住宅竊盜	1040602	13~15
281	住宅竊盜	1040603	16~18
282	住宅竊盜	1040606	04~06
283	住宅竊盜	1040606	10~12
284	住宅竊盜	1040606	19~21
285	住宅竊盜	1040607	07~09
286	住宅竊盜	1040607	10~12
287	住宅竊盜	1040608	07~09
288	住宅竊盜	1040608	13~15
289	住宅竊盜	1040608	22~24
290	住宅竊盜	1040609	16~18
291	住宅竊盜	1040612	10~12
292	住宅竊盜	1040615	10~12
293	住宅竊盜	1040615	16~18
294	住宅竊盜	1040615	22~24
295	住宅竊盜	1040616	07~09
296	住宅竊盜	1040616	13~15
297	住宅竊盜	1040616	13~15
298	住宅竊盜	1040619	07~09
299	住宅竊盜	1040619	07~09
300	住宅竊盜	1040619	19~21
301	住宅竊盜	1040620	04~06
302	住宅竊盜	1040620	10~12
303	住宅竊盜	1040621	10~12
304	住宅竊盜	1040622	07~09
305	住宅竊盜	1040622	13~15
306	住宅竊盜	1040622	13~15
307	住宅竊盜	1040623	22~24
308	住宅竊盜	1040624	04~06
309	住宅竊盜	1040624	19~21
310	住宅竊盜	1040625	22~24
311	住宅竊盜	1040628	01~03
312	住宅竊盜	1040628	16~18
313	住宅竊盜	1040628	16~18
314	住宅竊盜	1040628	22~24
315	住宅竊盜	1040628	22~24
316	住宅竊盜	1040630	22~24
317	住宅竊盜	1040701	07~09
318	住宅竊盜	1040701	16~18
319	住宅竊盜	1040701	22~24
320	住宅竊盜	1040702	19~21
321	住宅竊盜	1040703	01~03
322	住宅竊盜	1040703	13~15
323	住宅竊盜	1040704	04~06
324	住宅竊盜	1040707	01~03
325	住宅竊盜	1040707	07~09
326	住宅竊盜	1040707	19~21
327	住宅竊盜	1040708	10~12
328	住宅竊盜	1040709	01~03
329	住宅竊盜	1040710	01~03
330	住宅竊盜	1040712	16~18
331	住宅竊盜	1040713	22~24
332	住宅竊盜	1040713	22~24
333	住宅竊盜	1040714	07~09
334	住宅竊盜	1040714	22~24
335	住宅竊盜	1040715	10~12
336	住宅竊盜	1040715	13~15
337	住宅竊盜	1040715	19~21
338	住宅竊盜	1040716	07~09
339	住宅竊盜	1040717	01~03
340	住宅竊盜	1040718	01~03
341	住宅竊盜	1040718	13~15
342	住宅竊盜	1040718	16~18
343	住宅竊盜	1040718	19~21
344	住宅竊盜	1040720	16~18
345	住宅竊盜	1040720	19~21
346	住宅竊盜	1040720	22~24
347	住宅竊盜	1040721	10~12
348	住宅竊盜	1040721	22~24
349	住宅竊盜	1040722	13~15
350	住宅竊盜	1040722	16~18
351	住宅竊盜	1040723	07~09
352	住宅竊盜	1040724	13~15
353	住宅竊盜	1040725	10~12
354	住宅竊盜	1040725	13~15
355	住宅竊盜	1040727	07~09
356	住宅竊盜	1040727	07~09
357	住宅竊盜	1040727	19~21
358	住宅竊盜	1040729	10~12
359	住宅竊盜	1040730	13~15
360	住宅竊盜	1040730	16~18
361	住宅竊盜	1040731	01~03
362	住宅竊盜	1040731	04~06
363	住宅竊盜	1040731	07~09
364	住宅竊盜	1040731	10~12
365	住宅竊盜	1040731	13~15
366	住宅竊盜	1040731	19~21
367	住宅竊盜	1040731	22~24
368	住宅竊盜	1040801	22~24
369	住宅竊盜	1040803	22~24
370	住宅竊盜	1040804	04~06
371	住宅竊盜	1040805	13~15
372	住宅竊盜	1040806	13~15
373	住宅竊盜	1040806	16~18
374	住宅竊盜	1040807	01~03
375	住宅竊盜	1040810	13~15
376	住宅竊盜	1040810	16~18
377	住宅竊盜	1040810	19~21
378	住宅竊盜	1040810	19~21
379	住宅竊盜	1040811	04~06
380	住宅竊盜	1040811	10~12
381	住宅竊盜	1040812	07~09
382	住宅竊盜	1040812	19~21
383	住宅竊盜	1040813	13~15
384	住宅竊盜	1040813	16~18
385	住宅竊盜	1040814	07~09
386	住宅竊盜	1040814	10~12
387	住宅竊盜	1040815	07~09
388	住宅竊盜	1040815	07~09
389	住宅竊盜	1040815	10~12
390	住宅竊盜	1040815	10~12
391	住宅竊盜	1040815	13~15
392	住宅竊盜	1040815	13~15
393	住宅竊盜	1040817	01~03
394	住宅竊盜	1040817	01~03
395	住宅竊盜	1040817	16~18
396	住宅竊盜	1040817	19~21
397	住宅竊盜	1040818	19~21
398	住宅竊盜	1040820	01~03
399	住宅竊盜	1040821	22~24
400	住宅竊盜	1040822	07~09
401	住宅竊盜	1040822	22~24
402	住宅竊盜	1040823	01~03
403	住宅竊盜	1040823	19~21
404	住宅竊盜	1040823	19~21
405	住宅竊盜	1040824	10~12
